type,time,lat,lan,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-02-18 05:47:33,35.54416314,129.25616733,4,63.000,,0.430,232,22,33,,
T,2022-02-18 05:47:34,35.54416628,129.25617529,4,63.000,,0.800,133,22,34,,
T,2022-02-18 05:47:35,35.54416389,129.25618761,4,64.000,,0.810,68,21,34,,
T,2022-02-18 05:47:36,35.54416779,129.25619490,3,63.000,,0.870,47,22,33,,
T,2022-02-18 05:47:37,35.54417362,129.25620496,3,64.000,,0.970,50,22,33,,
T,2022-02-18 05:47:38,35.54417919,129.25621728,3,64.000,,1.170,55,22,34,,
T,2022-02-18 05:47:39,35.54418376,129.25622826,3,64.000,,1.180,54,23,34,,
T,2022-02-18 05:47:40,35.54418883,129.25624075,3,63.000,,1.170,59,23,34,,
T,2022-02-18 05:47:41,35.54419667,129.25625400,3,63.000,,1.130,56,22,34,,
T,2022-02-18 05:47:42,35.54420291,129.25627143,3,63.000,,1.420,65,20,33,,
T,2022-02-18 05:47:43,35.54420886,129.25628895,3,63.000,,1.340,70,23,34,,
T,2022-02-18 05:47:44,35.54421443,129.25630379,3,64.000,,1.380,70,23,34,,
T,2022-02-18 05:47:45,35.54421695,129.25632038,3,64.000,,1.380,68,22,34,,
T,2022-02-18 05:47:46,35.54422013,129.25633572,3,64.000,,1.500,78,22,34,,
T,2022-02-18 05:47:47,35.54422294,129.25635081,3,64.000,,1.390,78,22,34,,
T,2022-02-18 05:47:48,35.54422956,129.25636983,3,64.000,,1.430,74,22,34,,
T,2022-02-18 05:47:49,35.54423380,129.25638467,3,64.000,,1.440,75,22,34,,
T,2022-02-18 05:47:50,35.54423950,129.25640076,3,64.000,,1.480,73,22,34,,
T,2022-02-18 05:47:51,35.54424314,129.25641585,3,64.000,,1.420,71,21,34,,
T,2022-02-18 05:47:52,35.54424423,129.25643530,3,64.000,,1.440,67,22,34,,
T,2022-02-18 05:47:53,35.54424620,129.25645382,3,64.000,,1.410,71,23,34,,
T,2022-02-18 05:47:54,35.54424976,129.25647100,3,64.000,,1.290,80,23,34,,
T,2022-02-18 05:47:55,35.54425094,129.25648995,3,64.000,,1.330,83,22,33,,
T,2022-02-18 05:47:56,35.54425358,129.25650688,3,64.000,,1.390,82,23,34,,
T,2022-02-18 05:47:57,35.54425567,129.25652222,3,65.000,,1.400,84,23,34,,
T,2022-02-18 05:47:58,35.54425576,129.25653898,3,65.000,,1.520,86,23,34,,
T,2022-02-18 05:47:59,35.54425387,129.25655759,3,64.000,,1.630,91,23,34,,
T,2022-02-18 05:48:00,35.54425672,129.25657829,3,64.000,,1.720,94,23,33,,
T,2022-02-18 05:48:01,35.54425743,129.25659849,3,64.000,,1.530,91,23,33,,
T,2022-02-18 05:48:02,35.54425643,129.25661920,3,64.000,,1.480,95,22,32,,
T,2022-02-18 05:48:03,35.54425525,129.25663998,3,64.000,,1.620,101,23,33,,
T,2022-02-18 05:48:04,35.54425308,129.25666027,3,65.000,,1.690,106,22,33,,
T,2022-02-18 05:48:05,35.54424826,129.25667913,2,65.000,,1.630,112,23,33,,
T,2022-02-18 05:48:06,35.54424159,129.25669480,2,64.000,,1.420,109,23,33,,
T,2022-02-18 05:48:07,35.54423350,129.25671115,2,64.000,,1.580,105,23,33,,
T,2022-02-18 05:48:08,35.54422801,129.25672799,2,64.000,,1.500,107,24,33,,
T,2022-02-18 05:47:33,35.54416314,129.25616733,4,63.000,,0.430,232,22,33,,
T,2022-02-18 05:47:34,35.54416628,129.25617529,4,63.000,,0.800,133,22,34,,
T,2022-02-18 05:47:35,35.54416389,129.25618761,4,64.000,,0.810,68,21,34,,
T,2022-02-18 05:47:36,35.54416779,129.25619490,3,63.000,,0.870,47,22,33,,
T,2022-02-18 05:47:37,35.54417362,129.25620496,3,64.000,,0.970,50,22,33,,
T,2022-02-18 05:47:38,35.54417919,129.25621728,3,64.000,,1.170,55,22,34,,
T,2022-02-18 05:47:39,35.54418376,129.25622826,3,64.000,,1.180,54,23,34,,
T,2022-02-18 05:47:40,35.54418883,129.25624075,3,63.000,,1.170,59,23,34,,
T,2022-02-18 05:47:41,35.54419667,129.25625400,3,63.000,,1.130,56,22,34,,
T,2022-02-18 05:47:42,35.54420291,129.25627143,3,63.000,,1.420,65,20,33,,
T,2022-02-18 05:47:43,35.54420886,129.25628895,3,63.000,,1.340,70,23,34,,
T,2022-02-18 05:47:44,35.54421443,129.25630379,3,64.000,,1.380,70,23,34,,
T,2022-02-18 05:47:45,35.54421695,129.25632038,3,64.000,,1.380,68,22,34,,
T,2022-02-18 05:47:46,35.54422013,129.25633572,3,64.000,,1.500,78,22,34,,
T,2022-02-18 05:47:47,35.54422294,129.25635081,3,64.000,,1.390,78,22,34,,
T,2022-02-18 05:47:48,35.54422956,129.25636983,3,64.000,,1.430,74,22,34,,
T,2022-02-18 05:47:49,35.54423380,129.25638467,3,64.000,,1.440,75,22,34,,
T,2022-02-18 05:47:50,35.54423950,129.25640076,3,64.000,,1.480,73,22,34,,
T,2022-02-18 05:47:51,35.54424314,129.25641585,3,64.000,,1.420,71,21,34,,
T,2022-02-18 05:47:52,35.54424423,129.25643530,3,64.000,,1.440,67,22,34,,
T,2022-02-18 05:47:53,35.54424620,129.25645382,3,64.000,,1.410,71,23,34,,
T,2022-02-18 05:47:54,35.54424976,129.25647100,3,64.000,,1.290,80,23,34,,
T,2022-02-18 05:47:55,35.54425094,129.25648995,3,64.000,,1.330,83,22,33,,
T,2022-02-18 05:47:56,35.54425358,129.25650688,3,64.000,,1.390,82,23,34,,
T,2022-02-18 05:47:57,35.54425567,129.25652222,3,65.000,,1.400,84,23,34,,
T,2022-02-18 05:47:58,35.54425576,129.25653898,3,65.000,,1.520,86,23,34,,
T,2022-02-18 05:47:59,35.54425387,129.25655759,3,64.000,,1.630,91,23,34,,
T,2022-02-18 05:48:00,35.54425672,129.25657829,3,64.000,,1.720,94,23,33,,
T,2022-02-18 05:48:01,35.54425743,129.25659849,3,64.000,,1.530,91,23,33,,
T,2022-02-18 05:48:02,35.54425643,129.25661920,3,64.000,,1.480,95,22,32,,
T,2022-02-18 05:48:03,35.54425525,129.25663998,3,64.000,,1.620,101,23,33,,
T,2022-02-18 05:48:04,35.54425308,129.25666027,3,65.000,,1.690,106,22,33,,
T,2022-02-18 05:48:05,35.54424826,129.25667913,2,65.000,,1.630,112,23,33,,
T,2022-02-18 05:48:06,35.54424159,129.25669480,2,64.000,,1.420,109,23,33,,
T,2022-02-18 05:48:07,35.54423350,129.25671115,2,64.000,,1.580,105,23,33,,
T,2022-02-18 05:48:08,35.54422801,129.25672799,2,64.000,,1.500,107,24,33,,
T,2022-02-18 05:47:33,35.54416314,129.25616733,4,63.000,,0.430,232,22,33,,
T,2022-02-18 05:47:34,35.54416628,129.25617529,4,63.000,,0.800,133,22,34,,
T,2022-02-18 05:47:35,35.54416389,129.25618761,4,64.000,,0.810,68,21,34,,
T,2022-02-18 05:47:36,35.54416779,129.25619490,3,63.000,,0.870,47,22,33,,
